,0,1,2,3,4,5,6,7,8,9
NSC,0.14191551283228315,0.12930456401140314,0.13992605113635587,0.09223307339385249,0.11285352474407126,0.11768004159324227,0.11214776133361189,0.12502936626173372,0.12890370399056172,0.11891358424363527
FDX,0.10017817485047383,0.09071436524008246,0.11513281759139223,0.13328066300312782,0.12192831827384566,0.11317230883284302,0.11448601351524805,0.11282357939132277,0.0999863467037463,0.11208866857534226
UNP,0.06200734810765848,0.10908869294518461,0.11196617084057846,0.11252733481018141,0.10730641854975334,0.11962373363703185,0.11734991917382635,0.09366492217233165,0.11931496827059743,0.10841992489900214
UPS,0.08820920863693192,0.08672158799900313,0.060817262443092476,0.06379402701916116,0.0680017687872915,0.07581705724109257,0.058754454997142366,0.07036632992170908,0.056693386058596404,0.058968410092905654
KSU,0.06724686744068102,0.04319849510896394,0.0414950819675788,0.07367142023945633,0.06756341379504784,0.05608431705358254,0.062218742977977755,0.0637707131636857,0.05985770526376235,0.062469003499433864
LSTR,0.10517052077201768,0.0897462631338332,0.058247981243865536,0.07113276088975284,0.07787446893508021,0.07094047676726771,0.05504321926267395,0.06803939910301099,0.05928744710361433,0.065678804623492
JBHT,0.057160141419849576,0.0699576210979078,0.08832281298640962,0.04972685970492842,0.06861953087656933,0.0885288420644362,0.09094634758690813,0.09320937669443594,0.07084353932509826,0.07603295843610709
CHRW,0.08071447921531696,0.0,0.051511930405224414,0.06839950371491281,0.059644023070439714,0.03336461148361519,0.05602355499636652,0.045311240977318805,0.043855146476263054,0.05660060487499634
EXPD,0.0,0.06520243247623511,0.0,0.0,0.0,0.054950621448947655,0.03598746016350216,0.06494834143681512,0.05826460751801781,0.051384577571738074
UAL,0.04573881924069242,0.04300327985330521,0.0,0.06217242617300475,0.0726442872436786,0.08653618133386118,0.10853464486778237,0.06166113180903263,0.061855340409477905,0.042034196950153785
CSX,0.04158979754091881,0.05118869889125502,0.04158894011022765,0.04781260149314049,0.03679044451889843,0.0,0.04102255058647555,0.04424627841166958,0.0,0.04261570824616919
KEX,0.04984376858819584,0.0470606369703777,0.0572571104796655,0.05453792237117984,0.052152164805071566,0.03930069043098307,0.04676885840587026,0.0405217015987597,0.054585491699093644,0.04996256330310088
R,0.0,0.0,0.03335648635050492,0.05041619325001231,0.03542348783099105,0.035886697809532256,0.0,0.0,0.037044090669691346,0.0
ALK,0.040121306491843756,0.0,0.05921217448742178,0.04086414772479719,0.030491351299610028,0.03314082094298497,0.057414352092162495,0.05215807006979136,0.05396758328037708,0.05672563328093749
DAL,0.03844460661447795,0.0,0.11426738572247337,0.0,0.0,0.0,0.0,0.0,0.07301873224952012,0.07832998662461646
LUV,0.047000264382070736,0.06215338121471353,0.0,0.05090330601976699,0.06439302825576083,0.05396320502336353,0.0,0.04061739679496778,0.0,0.0
MATX,0.03465918386633113,0.03087832271460839,0.012330266521332652,0.0,0.0,0.0,0.026337754908759375,0.0,0.0,0.0
CAR,0.0,0.02851568744615836,0.014567527713952443,0.028527760194237348,0.02431376901414047,0.021010394336864257,0.01696436513174768,0.023632152193419544,0.022521910981462074,0.019775374778614283
AAL,0.0,0.053265970896650625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JBLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEinTrain,64.97210022130866,71.35413179647384,75.47080190443039,78.35496564101638,67.50407137818675,61.39991597311231,64.32899487064859,70.04668165534713,59.480819334654456,57.544146983738834
TEinTest,204.0911098974063,212.9010559394152,206.19015900306027,144.2379379824186,126.77996032888326,105.08765678592538,153.7730268481479,156.87378368679725,166.79158813955502,179.26320487822784
